condition,problem_id,std_norm_seq_lp,iqr_norm_seq_lp,n_completions
fuzz0,1548_C. The Three Little Pigs,0.008625821983837087,0.01135893266131216,5
fuzz0,1,0.023018303626042486,0.023040987424952447,5
fuzz0,2,0.023062217615180836,0.024669437283901502,5
fuzz0,3,0.03390379398903866,0.03933471209128936,5
fuzz0,4,0.051675200674120146,0.08124278676672048,5
fuzz0,5,0.12230676147734619,0.1969206429926798,5
fuzz0,6,0.08675121634567502,0.05971584583003964,5
fuzz0,7,0.04302463208431969,0.06975186215079321,5
fuzz0,8,0.04029326321283904,0.05794023911965951,5
fuzz0,9,0.10602914525999747,0.10635235628031997,5
fuzz0,10,0.012403866459077949,0.003196948534576305,5
fuzz0,11,0.0441779542828742,0.025008272894936234,5
fuzz0,12,0.1379578358295542,0.19865235629360029,5
fuzz0,13,0.04545735774824309,0.09243369194531093,5
fuzz0,14,0.042584549402582675,0.03929342276681236,5
fuzz0,15,0.07799265156947582,0.14510815581227907,5
fuzz0,16,0.1112513842891989,0.13318812907808528,5
fuzz0,17,0.029989951975039945,0.04882847909803767,5
fuzz0,18,0.06261204578185554,0.0971038074042469,5
fuzz0,19,0.07197549820942348,0.09190062013592587,5
fuzz0.3,1548_C. The Three Little Pigs,0.03102156002955498,0.014988763839940578,5
fuzz0.3,1,0.02645805279128997,0.053940996655565926,5
fuzz0.3,2,0.023652553860274216,0.02366421689421605,5
fuzz0.3,3,0.12515950188533617,0.1851087058759659,5
fuzz0.3,4,0.09253007369297478,0.06549152502780956,5
fuzz0.3,5,0.08385258978085242,0.04707453792264216,5
fuzz0.3,6,0.033355445060154726,0.040103046907733864,5
fuzz0.3,7,0.04833881564498481,0.06808096231514554,5
fuzz0.3,8,0.10727774496554672,0.2278060718104123,5
fuzz0.3,9,0.10476526383894243,0.0934545668616309,5
fuzz0.3,10,0.07482213640664676,0.03270522263305242,5
fuzz0.3,11,0.07309591309990919,0.07210781250872667,5
fuzz0.3,12,0.08369741403897552,0.050917670058655995,5
fuzz0.3,13,0.1082748608300089,0.15584900435249355,5
fuzz0.3,14,0.028953511167398926,0.03927286815620262,5
fuzz0.3,15,0.04398702652051371,0.06094939737468261,5
fuzz0.3,16,0.07559565675337093,0.03240569044614594,5
fuzz0.3,17,0.025636211522658714,0.033104303036195104,5
fuzz0.3,18,0.08137816427493187,0.0610462241392844,5
fuzz0.3,19,0.06219065923238607,0.08781502082959697,5
fuzz0.6,1548_C. The Three Little Pigs,0.05766183805999166,0.04891177456748402,5
fuzz0.6,1,0.01304980010715894,0.007020633008060995,5
fuzz0.6,2,0.03092410691583961,0.05277205418145908,5
fuzz0.6,3,0.057970780313481754,0.031598627473027996,5
fuzz0.6,4,0.07245424540686911,0.04622860897310535,5
fuzz0.6,5,0.10328537319822048,0.02576293171026145,5
fuzz0.6,6,0.06527212569217775,0.030436185035299768,5
fuzz0.6,7,0.05793301734891673,0.04441562141125854,5
fuzz0.6,8,0.06986304132258787,0.07479853825122881,5
fuzz0.6,9,0.09398961007451204,0.11017429986717775,5
fuzz0.6,10,0.107738484885487,0.04703774372941444,5
fuzz0.6,11,0.07119535013704269,0.033367979129135694,5
fuzz0.6,12,0.07279001313507583,0.04901921838085879,5
fuzz0.6,13,0.06856433127833371,0.13157314535108042,5
fuzz0.6,14,0.026683501444751852,0.021568975013184333,5
fuzz0.6,15,0.10354061985133481,0.016379211921655867,5
fuzz0.6,16,0.07589432191392396,0.0640975577260603,5
fuzz0.6,17,0.008050561316798297,0.013942153386218292,5
fuzz0.6,18,0.036274917339425505,0.06843474995018844,5
fuzz0.6,19,0.06736615423768973,0.07553355628275488,5
